"x","y_obs_TiannaGreenMAPbBr50I50.tif_Azm=_0.00"
5.0,13.636
5.018,13.344
5.036,13.156
5.054,13.111
5.072,13.376
5.09,13.276
5.108,13.339
5.126,13.454
5.144,13.32
5.162,13.573
5.18,13.35
5.198,13.285
5.216,13.274
5.234,13.213
5.252,13.296
5.27,13.328
5.288,13.217
5.306,13.302
5.324,13.445
5.342,13.31
5.36,13.308
5.378,13.36
5.396,13.413
5.414,13.357
5.432,13.344
5.45,13.356
5.468,13.405
5.486,13.375
5.504,13.403
5.522,13.41
5.54,13.494
5.558,13.29
5.576,13.373
5.594,13.468
5.612,13.406
5.63,13.457
5.648,13.441
5.666,13.476
5.684,13.466
5.702,13.542
5.72,13.506
5.738,13.551
5.756,13.472
5.774,13.549
5.792,13.555
5.81,13.52
5.828,13.506
5.846,13.457
5.864,13.553
5.882,13.678
5.9,13.594
5.918,13.664
5.936,13.666
5.954,13.636
5.972,13.772
5.99,13.627
6.008,13.584
6.026,13.631
6.044,13.692
6.062,13.748
6.08,13.717
6.098,13.609
6.116,13.705
6.134,13.692
6.152,13.576
6.17,13.708
6.188,13.631
6.206,13.741
6.224,13.763
6.242,13.791
6.26,13.791
6.278,13.714
6.296,13.86
6.314,13.798
6.332,13.929
6.35,13.936
6.368,13.846
6.386,13.924
6.404,13.95
6.422,13.893
6.44,13.919
6.458,13.881
6.476,13.824
6.494,13.915
6.512,13.867
6.53,13.983
6.548,13.91
6.566,13.894
6.584,13.88
6.602,13.956
6.62,13.932
6.638,13.956
6.656,13.954
6.674,13.936
6.692,13.943
6.71,13.934
6.728,13.856
6.746,13.943
6.764,14.009
6.782,13.952
6.8,14.031
6.818,14.169
6.836,14.05
6.854,14.227
6.872,14.156
6.89,14.32
6.908,14.133
6.926,14.147
6.944,14.201
6.962,14.18
6.98,14.074
6.998,14.081
7.016,14.216
7.034,14.219
7.052,14.177
7.07,14.303
7.088,14.246
7.106,14.227
7.124,14.296
7.142,14.22
7.16,14.16
7.178,14.151
7.196,14.341
7.214,14.312
7.232,14.373
7.25,14.282
7.268,14.478
7.286,14.533
7.304,14.458
7.322,14.478
7.34,14.382
7.358,14.373
7.376,14.427
7.394,14.543
7.412,14.461
7.43,14.533
7.448,14.534
7.466,14.621
7.484,14.656
7.502,14.578
7.52,14.475
7.538,14.631
7.556,14.615
7.574,14.554
7.592,14.683
7.61,14.739
7.628,14.708
7.646,14.73
7.664,14.813
7.682,14.693
7.7,14.873
7.718,14.828
7.736,14.98
7.754,15.01
7.772,14.932
7.79,15.129
7.808,14.943
7.826,14.98
7.844,15.24
7.862,15.178
7.88,15.389
7.898,15.453
7.916,15.512
7.934,16.081
7.952,16.37
7.97,16.409
7.988,18.359
8.006,18.633
8.024,19.14
8.042,24.008
8.06,22.878
8.078,23.156
8.096,28.697
8.114,22.669
8.132,23.33
8.15,20.421
8.168,18.279
8.186,18.398
8.204,16.63
8.222,16.124
8.24,16.195
8.258,15.715
8.276,15.511
8.294,15.608
8.312,15.427
8.33,15.46
8.348,15.473
8.366,15.364
8.384,15.336
8.402,15.308
8.42,15.368
8.438,15.509
8.456,15.296
8.474,15.455
8.492,15.422
8.51,15.298
8.528,15.421
8.546,15.352
8.564,15.401
8.582,15.421
8.6,15.585
8.618,15.422
8.636,15.387
8.654,15.599
8.672,15.651
8.69,15.581
8.708,15.654
8.726,15.715
8.744,15.726
8.762,15.874
8.78,15.882
8.798,15.905
8.816,15.899
8.834,15.977
8.852,15.976
8.87,15.893
8.888,16.079
8.906,16.176
8.924,16.191
8.942,16.089
8.96,16.204
8.978,16.438
8.996,16.407
9.014,16.499
9.032,16.761
9.05,16.897
9.068,17.252
9.086,17.513
9.104,17.771
9.122,18.48
9.14,19.007
9.158,19.931
9.176,22.64
9.194,25.398
9.212,34.38
9.23,59.873
9.248,109.091
9.266,189.899
9.284,159.892
9.302,93.949
9.32,58.463
9.338,34.78
9.356,26.373
9.374,22.722
9.392,20.276
9.41,19.293
9.428,18.393
9.446,17.89
9.464,17.831
9.482,17.602
9.5,17.26
9.518,17.202
9.536,17.126
9.554,17.1
9.572,16.941
9.59,17.006
9.608,16.938
9.626,16.91
9.644,16.825
9.662,16.902
9.68,16.982
9.698,16.965
9.716,16.942
9.734,16.929
9.752,16.984
9.77,16.942
9.788,16.916
9.806,16.978
9.824,17.057
9.842,16.93
9.86,17.061
9.878,17.068
9.896,17.047
9.914,17.103
9.932,17.009
9.95,17.088
9.968,17.151
9.986,17.178
10.004,17.071
10.022,17.253
10.04,17.245
10.058,17.389
10.076,17.35
10.094,17.38
10.112,17.384
10.13,17.275
10.148,17.394
10.166,17.496
10.184,17.419
10.202,17.486
10.22,17.382
10.238,17.463
10.256,17.448
10.274,17.529
10.292,17.628
10.31,17.598
10.328,17.577
10.346,17.637
10.364,17.763
10.382,17.821
10.4,17.776
10.418,17.694
10.436,17.842
10.454,17.94
10.472,17.915
10.49,17.917
10.508,17.962
10.526,18.028
10.544,18.101
10.562,18.01
10.58,18.023
10.598,18.199
10.616,18.161
10.634,18.35
10.652,18.3
10.67,18.209
10.688,18.346
10.706,18.412
10.724,18.446
10.742,18.391
10.76,18.367
10.778,18.509
10.796,18.401
10.814,18.522
10.832,18.575
10.85,18.58
10.868,18.686
10.886,18.67
10.904,18.776
10.922,18.851
10.94,18.85
10.958,18.786
10.976,18.869
10.994,18.93
11.012,18.973
11.03,18.923
11.048,19.09
11.066,19.107
11.084,19.12
11.102,19.191
11.12,19.226
11.138,19.212
11.156,19.305
11.174,19.346
11.192,19.377
11.21,19.304
11.228,19.496
11.246,19.573
11.264,19.482
11.282,19.464
11.3,19.48
11.318,19.627
11.336,19.786
11.354,19.676
11.372,19.759
11.39,19.855
11.408,19.844
11.426,19.977
11.444,19.882
11.462,20.161
11.48,20.198
11.498,20.216
11.516,20.181
11.534,20.245
11.552,20.18
11.57,20.314
11.588,20.157
11.606,20.247
11.624,20.244
11.642,20.424
11.66,20.451
11.678,20.491
11.696,20.616
11.714,20.544
11.732,20.566
11.75,20.84
11.768,20.853
11.786,20.919
11.804,20.78
11.822,20.818
11.84,21.121
11.858,20.908
11.876,21.045
11.894,21.011
11.912,21.033
11.93,21.171
11.948,21.099
11.966,21.292
11.984,21.403
12.002,21.455
12.02,21.409
12.038,21.44
12.056,21.569
12.074,21.656
12.092,21.464
12.11,21.673
12.128,21.62
12.146,21.785
12.164,21.929
12.182,21.974
12.2,22.035
12.218,22.138
12.236,22.234
12.254,22.355
12.272,22.267
12.29,22.252
12.308,22.164
12.326,22.247
12.344,22.381
12.362,22.224
12.38,22.359
12.398,22.347
12.416,22.565
12.434,22.614
12.452,22.518
12.47,22.707
12.488,22.877
12.506,22.865
12.524,22.95
12.542,22.977
12.56,23.08
12.578,22.852
12.596,23.15
12.614,23.217
12.632,23.131
12.65,23.264
12.668,23.474
12.686,23.372
12.704,23.397
12.722,23.497
12.74,23.631
12.758,23.653
12.776,23.732
12.794,23.735
12.812,23.655
12.83,23.823
12.848,23.864
12.866,23.911
12.884,23.957
12.902,24.064
12.92,24.343
12.938,24.278
12.956,24.181
12.974,24.198
12.992,24.315
13.01,24.484
13.028,24.392
13.046,24.59
13.064,24.803
13.082,24.957
13.1,25.656
13.118,26.525
13.136,28.434
13.154,30.778
13.172,32.158
13.19,31.833
13.208,29.694
13.226,27.926
13.244,26.603
13.262,25.838
13.28,25.622
13.298,25.576
13.316,25.61
13.334,25.505
13.352,25.553
13.37,25.492
13.388,25.432
13.406,25.662
13.424,25.516
13.442,25.681
13.46,25.656
13.478,25.641
13.496,25.881
13.514,25.909
13.532,25.932
13.55,25.974
13.568,25.92
13.586,26.015
13.604,25.985
13.622,26.222
13.64,26.087
13.658,26.199
13.676,26.318
13.694,26.221
13.712,26.394
13.73,26.472
13.748,26.538
13.766,26.557
13.784,26.497
13.802,26.528
13.82,26.588
13.838,26.7
13.856,26.638
13.874,26.731
13.892,26.973
13.91,26.98
13.928,26.962
13.946,26.855
13.964,26.96
13.982,27.027
14.0,27.073
14.018,27.113
14.036,27.186
14.054,27.38
14.072,27.311
14.09,27.393
14.108,27.447
14.126,27.448
14.144,27.46
14.162,27.437
14.18,27.643
14.198,27.578
14.216,27.565
14.234,27.642
14.252,27.639
14.27,27.825
14.288,27.771
14.306,27.936
14.324,28.005
14.342,28.018
14.36,28.032
14.378,28.015
14.396,28.27
14.414,28.249
14.432,28.285
14.45,28.225
14.468,28.272
14.486,28.289
14.504,28.186
14.522,28.441
14.54,28.283
14.558,28.508
14.576,28.439
14.594,28.401
14.612,28.703
14.63,28.445
14.648,28.672
14.666,28.981
14.684,28.688
14.702,28.684
14.72,28.725
14.738,28.96
14.756,28.65
14.774,28.776
14.792,28.819
14.81,28.937
14.828,28.962
14.846,28.825
14.864,28.978
14.882,28.913
14.9,29.26
14.918,29.141
14.936,29.127
14.954,29.135
14.972,28.985
14.99,29.245
15.008,29.191
15.026,29.276
15.044,29.204
15.062,29.204
15.08,29.365
15.098,29.309
15.116,29.333
15.134,29.284
15.152,29.419
15.17,29.405
15.188,29.432
15.206,29.549
15.224,29.411
15.242,29.499
15.26,29.515
15.278,29.697
15.296,29.488
15.314,29.647
15.332,29.57
15.35,29.71
15.368,29.76
15.386,29.683
15.404,29.715
15.422,29.579
15.44,29.804
15.458,29.566
15.476,29.867
15.494,29.932
15.512,29.761
15.53,30.017
15.548,29.698
15.566,29.831
15.584,29.645
15.602,30.022
15.62,29.982
15.638,29.892
15.656,29.855
15.674,30.013
15.692,30.036
15.71,29.944
15.728,29.97
15.746,30.206
15.764,30.115
15.782,29.975
15.8,29.898
15.818,30.083
15.836,30.111
15.854,30.32
15.872,30.071
15.89,30.187
15.908,30.084
15.926,30.271
15.944,30.23
15.962,30.235
15.98,30.256
15.998,30.009
16.016,30.328
16.034,30.119
16.052,30.483
16.07,30.593
16.088,30.718
16.106,31.267
16.124,32.185
16.142,33.087
16.16,33.661
16.178,33.823
16.196,33.043
16.214,32.307
16.232,31.303
16.25,30.932
16.268,30.564
16.286,30.417
16.304,30.544
16.322,30.58
16.34,30.575
16.358,30.243
16.376,30.426
16.394,30.37
16.412,30.389
16.43,30.232
16.448,30.377
16.466,30.45
16.484,30.303
16.502,30.518
16.52,30.507
16.538,30.725
16.556,30.702
16.574,31.023
16.592,30.977
16.61,31.005
16.628,30.826
16.646,30.69
16.664,30.685
16.682,30.523
16.7,30.561
16.718,30.397
16.736,30.536
16.754,30.377
16.772,30.501
16.79,30.496
16.808,30.616
16.826,30.386
16.844,30.414
16.862,30.369
16.88,30.315
16.898,30.271
16.916,30.27
16.934,30.486
16.952,30.248
16.97,30.468
